"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[128]",-1.2707972637925,-1.2628027,0.106880069202081,0.1000866195,-1.454130155,-1.108522295,1.00516737101957,750.1761959501,765.347054136297
"log_lik[129]",-2.581232570025,-2.56705465,0.226252745975709,0.22424532564,-2.97534279,-2.241246095,1.00044289510612,2422.3032940756,2430.56226327475
"log_lik[130]",-1.3256965642225,-1.3189984,0.109932352618188,0.10494917685,-1.512827175,-1.16118031,1.00220666180948,1388.89267167948,1512.28265397271
"log_lik[131]",-0.9053175104825,-0.90924632,0.0807032964417405,0.0735655371150001,-1.02830849,-0.774342512,1.00311094001446,1547.51602450927,975.760649241592
"log_lik[132]",-1.3602853327575,-1.35282,0.11290800781379,0.10814002857,-1.555403665,-1.191142865,1.00195214596801,1468.92033520374,1688.58058502006
"log_lik[133]",-0.885958322405,-0.884203175,0.0841539687547461,0.0818771706269999,-1.0251839,-0.753183981,1.00353228923368,1364.73763532424,1787.53088737747
"log_lik[134]",-1.046047936475,-1.04090495,0.0958589940465045,0.08812878333,-1.20881916,-0.8998228285,1.00596961998121,731.157132237569,603.72355626115
"log_lik[135]",-1.1919232936625,-1.18467505,0.103214631472049,0.0951487460699998,-1.3675806,-1.03489105,1.00570023053896,728.466359947739,630.253192361223
"log_lik[136]",-0.8902137150625,-0.88830049,0.0845127405204397,0.082331038965,-1.02977048,-0.7578724325,1.00366762767627,1281.29504596948,1747.77735793615
"log_lik[137]",-0.915321799865,-0.912778025,0.086581079583863,0.082295923584,-1.05921176,-0.781526012,1.00433137087067,1000.64583424704,1251.9335612906
"log_lik[138]",-3.13500881355,-3.1207587,0.279031961778027,0.27032445951,-3.622612275,-2.716814165,1.00064182143434,2718.35873668691,2784.52668598305
"log_lik[139]",-1.4122125963875,-1.40396555,0.117239452032113,0.11423610912,-1.61586013,-1.23417698,1.00163584433037,1594.65888396833,1874.89262629829
"log_lik[140]",-1.857421336775,-1.84646375,0.163625751134296,0.16433990895,-2.142665635,-1.604605465,1.00090520492826,2060.06183151127,2791.20115497187
"log_lik[141]",-1.11974162186,-1.11713325,0.0890234245781952,0.0824349321599997,-1.26867031,-0.984429104,1.00411942955661,1005.98855535,1025.01662585146
"log_lik[142]",-1.417284723405,-1.40925345,0.117685395344973,0.1149215151,-1.62160065,-1.238747395,1.00161852432511,1604.28635112693,1875.85098369263
"log_lik[143]",-1.07826464965,-1.0777088,0.0862278112858825,0.07884659538,-1.21863681,-0.947969013,1.0043274007463,979.290914387323,922.521499805018
"log_lik[144]",-0.8794580947175,-0.8828041,0.0813349457017847,0.07628444019,-1.004306765,-0.741417014,1.00256442482435,1869.12354573601,1198.68195318247
"log_lik[145]",-1.37947225689,-1.3724231,0.114489925659676,0.11085133332,-1.57825299,-1.206427555,1.00183849104838,1516.48231216342,1694.06446920379
